timestamp,ip,username,status
2025-01-10 08:00:01,192.168.1.10,admin,FAIL
2025-01-10 08:00:05,192.168.1.10,admin,FAIL
2025-01-10 08:00:09,192.168.1.10,admin,FAIL
2025-01-10 08:00:12,192.168.1.10,admin,FAIL
2025-01-10 08:00:15,192.168.1.10,admin,FAIL
2025-01-10 08:00:20,192.168.1.10,admin,FAIL
2025-01-10 08:01:00,192.168.1.50,juan,FAIL
2025-01-10 08:01:10,192.168.1.50,juan,FAIL
2025-01-10 08:01:20,192.168.1.50,juan,FAIL
2025-01-10 08:02:00,10.0.0.2,maria,SUCCESS
2025-01-10 08:05:00,192.168.1.150,root,FAIL
2025-01-10 08:05:10,192.168.1.150,root,SUCCESS
2025-01-10 08:06:00,200.55.1.10,unknown,FAIL
2025-01-10 08:06:04,200.55.1.10,unknown,FAIL
2025-01-10 08:06:08,200.55.1.10,unknown,FAIL
2025-01-10 08:06:12,200.55.1.10,unknown,FAIL
2025-01-10 08:06:16,200.55.1.10,unknown,FAIL
